_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
13004	Daily export  power from PV	PV-Einspeiseleistung heute	KW/h	uint16be	1	0.1	0		value		false	false
13005	Total export  energy from PV	PV-Einspeiseleistung gesamt	KW/h	uint32sw	2	0.1	0		value		false	false
13007	Load Power	Aktueller Energieverbrauch Gesamt im Haus von Smart-Meter	W	int32sw	2	1	0		value		false	false
13009	Export Power	Lastleistung Einspeiseleistung / Bezugsleistung bei Vorzeichen Minus	W	int32sw	2	1	0		value		false	false
13014	CO2-reduction	CO2- Reduzierung	Kg	uint32sw	2	0.1	0		value		false	false
13016	Daily direct  Energy Consumption	Direkter Eigenverbrauch heute von PV-Anlage genutzt	KW/h	uint16be	1	0.1	0		value		false	false
13017	Total direct  Energy Consumption	Direkter Eigenverbrauch gesamt von PV-Anlage genutzt	KW/h	uint32sw	2	0.1	0		value		false	false
13028	Self-consumption of today	Heutiger Anteil des Eigenverbrauches	%	uint16be	1	0.1	0		value		false	false
13029	Grid State	Netzstatus		uint16be	1	1	0		value		false	false
13030	Phase A current	Phase A Stromabgabe vom Wechselrichter	A	int16be	1	0.1	0		value		false	false
13031	Phase B current	Phase B Stromabgabe vom Wechselrichter	A	int16be	1	0.1	0		value		false	false
13032	Phase C current	Phase C Stromabgabe vom Wechselrichter	A	int16be	1	0.1	0		value		false	false
13035	Daily Import Energy	Gekaufte Energie heute	KW/h	uint16be	1	0.1	0		value		false	false
13036	Total Import Energy	Gekaufte Energie gesamt	KW/h	uint32sw	2	0.1	0		value		false	false
13044	Daily export energy	Einspeiseleistung heute	KW/h	uint16be	1	0.1	0		value		false	false
13045	Total export energy	Einspeiseleistung Gesamt	KW/h	uint32sw	2	0.1	0		value		false	false
13049	Inverter alarm	Inverter Alarm		uint32sw	2	1	0		value		false	false
13051	Grid-side fault	Netzfehler		uint32sw	2	1	0		value		false	false
13053	System fault 1	Systemfehler 1		uint32sw	2	1	0		value		false	false
13055	System fault 2	Systemfehler 2		uint32sw	2	1	0		value		false	false
13057	DC-side fault	Fehler DC-Seite		uint32sw	2	1	0		value		false	false
13059	Permanent fault	Permanenter Fehler		uint32sw	2	1	0		value		false	false
13073	Export power limitation	Begrenzung Leistungsexport in Netz	W	uint16be	1	1	0		value		false	false
