_address	deviceId	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
30001	1	L1-N_Spannung		V	floatbe	2	1	0		level		false	false
30003	1	L2-N_Spannung		V	floatbe	2	1	0		level		false	false
30005	1	L3-N_Spannung		V	floatbe	2	1	0		level		false	false
30007	1	L1_Strom		A	floatbe	2	1	0		level		false	false
30009	1	L2_Strom		A	floatbe	2	1	0		level		false	false
30011	1	L3_Strom		A	floatbe	2	1	0		level		false	false
30013	1	L1_Wirkleistung		W	floatbe	2	1	0		level		false	false
30015	1	L2_Wirkleistung		W	floatbe	2	1	0		level		false	false
30017	1	L3_Wirkleistung		W	floatbe	2	1	0		level		false	false
30019	1	L1_Scheinleistung		VA	floatbe	2	1	0		level		false	false
30021	1	L2_Scheinleistung		VA	floatbe	2	1	0		level		false	false
30023	1	L3_Scheinleistung		VA	floatbe	2	1	0		level		false	false
30025	1	L1_Blindleistung		var	floatbe	2	1	0		level		false	false
30027	1	L2_Blindleistung		var	floatbe	2	1	0		level		false	false
30029	1	L3_Blindleistung		var	floatbe	2	1	0		level		false	false
30031	1	L1_Leistungsfaktor			floatbe	2	1	0		level		false	false
30033	1	L2_Leistungsfaktor			floatbe	2	1	0		level		false	false
30035	1	L3_Leistungsfaktor			floatbe	2	1	0		level		false	false
30037	1	L1_Phasenwinkel		Grad	floatbe	2	1	0		level		false	false
30039	1	L2_Phasenwinkel		Grad	floatbe	2	1	0		level		false	false
30041	1	L3_Phasenwinkel		Grad	floatbe	2	1	0		level		false	false
30043	1	Durchschnitt_Spannung_Phase_zu_N		V	floatbe	2	1	0		level		false	false
30047	1	Durchschnitt_Strom		A	floatbe	2	1	0		level		false	false
30049	1	Summe_Ströme		A	floatbe	2	1	0		level		false	false
30053	1	Gesamt_Leistung		W	floatbe	2	1	0		level		false	false
30057	1	Gesamt_Scheinleistung		VA	floatbe	2	1	0		level		false	false
30061	1	Gesamt_Blindleistung		var	floatbe	2	1	0		level		false	false
30063	1	Gesamt_Leistungsfaktor			floatbe	2	1	0		level		false	false
30067	1	Gesamt_Phasenwinkel		Grad	floatbe	2	1	0		level		false	false
30071	1	Frequenz		Hz	floatbe	2	1	0		level		false	false
30073	1	Wirkenergie_Bezug_Wh		kWh/MWh	floatbe	2	1	0		level		false	false
30075	1	Wirkenergie_Lieferung_Wh		kWh/MWh	floatbe	2	1	0		level		false	false
30077	1	Blindenergie_Bezug_Wh		kvarh/Mvarh	floatbe	2	1	0		level		false	false
30079	1	Blindenergie_Lieferung_Wh		kvarh/Mvarh	floatbe	2	1	0		level		false	false
30081	1	Scheinenergie		kVAh/MVAh	floatbe	2	1	0		level		false	false
30083	1	Amperestunden		AH/kah	floatbe	2	1	0		level		false	false
30085	1	Gesamt_Leistung_demand		W	floatbe	2	1	0		level		false	false
30087	1	Maximum_Leistung_demand		VA	floatbe	2	1	0		level		false	false
30101	1	Gesamtsystem-VA		VA	floatbe	2	1	0		level		false	false
30103	1	Maximale_Gesamtsystem-VA		VA	floatbe	2	1	0		level		false	false
30105	1	Neutralleiterstrom_demand		A	floatbe	2	1	0		level		false	false
30107	1	Maximaler_Neutralleiterstrom_demand		A	floatbe	2	1	0		level		false	false
30201	1	L1-L2_Spannung		V	floatbe	2	1	0		level		false	false
30203	1	L2-L3_Spannung		V	floatbe	2	1	0		level		false	false
30205	1	L3-L1_Spannung		V	floatbe	2	1	0		level		false	false
30207	1	Durchschnittliche_Leiter_zu_Leiter_Spannung		V	floatbe	2	1	0		level		false	false
30225	1	Neutralleiter_Strom		A	floatbe	2	1	0		level		false	false
30235	1	L1-N_Spannung_THD		%	floatbe	2	1	0		level		false	false
30237	1	L2-N_Spannung_THD		%	floatbe	2	1	0		level		false	false
30239	1	L3-N_Spannung_THD		%	floatbe	2	1	0		level		false	false
30241	1	L1_Strom_THD		%	floatbe	2	1	0		level		false	false
30243	1	L2_Strom_THD		%	floatbe	2	1	0		level		false	false
30245	1	L3_Strom_THD		%	floatbe	2	1	0		level		false	false
30249	1	Durchschnittliche_THD_der_Spannung_zwischen_L_und_N		%	floatbe	2	1	0		level		false	false
30251	1	Durchschnittlicher_THD_des_Leitungsstroms		%	floatbe	2	1	0		level		false	false
