_address	deviceId	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
523	1	Total_GridBuy_Power kWh_high word	Total_GridBuy_Power kWh_high word	kwh	uint16be	1	0,1	0		level		true	false	false	false
524	1	Total_GridSell_Power kWh_low word	Total_GridSell_Power kWh_low word	kwh	uint16be	1	0,1	0		level		true	false	false	false
525	1	Total_GridSell_Power kWh_high word	Total_GridSell_Power kWh_high word	kwh	uint16be	1	0,1	0		level		true	false	false	false
526	1	Load_Power_Day	Day_Load_Power kWH	kwh	uint16be	1	0,1	0		level		true	false	false	false
527	1	Load_Power_total_low	Total_Load_Power kWh_low word	kwh	uint16be	1	0,1	0		level		true	false	false	false
528	1	Load_Power_total_high	Total_Load_Power kWh_high word	kwh	uint16be	1	0,1	0		level		true	false	false	false
529	1	Day_PV_Power kWh	Tagesproduzierte leistung	kwh	uint16be	1	0,1	0		level		true	false	false	false
530	1	Day_PV-1_Power kWh	Day_PV-1_Power kWh	kwh	uint16be	1	0,1	0		level		true	false	false	false
531	1	Day_PV-2_Power kWh	Day_PV-2_Power kWh	kwh	uint16be	1	0,1	0		level		true	false	false	false
532	1	Day_PV-3_Power kWh	Day_PV-3_Power kWh	kwh	uint16be	1	0,1	0		level		true	false	false	false
533	1	Day_PV-4_Power kWh	Day_PV-4_Power kWh	kwh	uint16be	1	0,1	0		level		true	false	false	false
534	1	Total PV power Wh low word	Gesamt-PV-Leistung Wh niedriges Wort	kwh	uint16be	1	0,1	0		level		true	false	false	false
535	1	Total PV power Wh high word	Gesamt-PV-Leistung Wh hohes Wort	kwh	uint16be	1	0,1	0		level		true	false	false	false
553	1	Warning message word 1	Warning message word 1		uint16be	1	1	0		level		true	false	false	false
554	1	Warning message word 2	Warning message word 2		uint16be	1	1	0		level		true	false	false	false
555	1	Fault information word 1	Fault information word 1		uint16be	1	1	0		level		true	false	false	false
556	1	Fault information word 2	Fault information word 2		uint16be	1	1	0		level		true	false	false	false
557	1	Fault information word 3	Fault information word 3		uint16be	1	1	0		level		true	false	false	false
558	1	Fault information word 4	Fault information word 4		uint16be	1	1	0		level		true	false	false	false
586	1	battery temperature	Batterietemperatur	°C	int16be	1	0,01	10		level		true	false	false	false
587	1	battery voltage	Batteriespannung	V	int16be	1	0,01	0		level		true	false	false	false
588	1	battery capacity	BatteriekapazitÃ¤t	%	int16be	1	1	0		level		true	false	false	false
590	1	Battery output power	Ausgangsleistung der Batterie	W	int16be	1	1	0		level		true	false	false	false
591	1	Battery output current	Ausgangsstrom der Batterie	A	int16be	1	0,01	0		level		true	false	false	false
592	1	Corrected AH	AH korrigiert	AH	int16be	1	1	0		level		true	false	false	false
598	1	Grid phase voltage A	Netzphasenspannung L1	V	int16be	1	0,1	0		level		true	false	false	false
599	1	Grid phase voltage B	Netzphasenspannung L2	V	int16be	1	0,1	0		level		true	false	false	false
600	1	Grid phase voltage C	Netzphasenspannung L3	V	int16be	1	0,1	0		level		true	false	false	false
601	1	Grid line voltage AB	Netzphasenspannung L1-L2	V	int16be	1	0,1	0		level		true	false	false	false
602	1	Grid line voltage BC	Netzphasenspannung L2-L3	V	int16be	1	0,1	0		level		true	false	false	false
603	1	Grid line voltage CA	Netzphasenspannung L3-L1	V	int16be	1	0,1	0		level		true	false	false	false
604	1	L1 phase power on the inner side of the grid	L1 Phasenleistung auf der Innenseite des Netzes	W	int16be	1	1	0		level		true	false	false	false
605	1	L2 phase power on the inner side of the grid	L2 Phasenleistung auf der Innenseite des Netzes	W	int16be	1	1	0		level		true	false	false	false
606	1	L3 phase power on the inner side of the grid	L3 Phasenleistung auf der Innenseite des Netzes	W	int16be	1	1	0		level		true	false	false	false
607	1	active power from side to side of the grid	Wirkleistung von Seite zu Seite des Netzes	W	int16be	1	1	0		level		true	false	false	false
608	1	Grid side - inside total apparent power	Netzseite â€“ innere Gesamtscheinleistung	W	int16be	1	1	0		level		true	false	false	false
609	1	Grid-side frequency	Grid Seite Frequenz	Hz	int16be	1	0,01	0		level		true	false	false	false
610	1	grid side inner current L1	netzseitiger Innenstrom L1	A	int16be	1	0,01	0		level		true	false	false	false
611	1	grid side inner current L2	netzseitiger Innenstrom L2	A	int16be	1	0,01	0		level		true	false	false	false
612	1	grid side inner current L3	netzseitiger Innenstrom L3	A	int16be	1	0,01	0		level		true	false	false	false
613	1	Out-of-grid - current L1	AuÃŸerhalb des Netzes â€“ aktuelles L1	A	int16be	1	0,01	0		level		true	false	false	false
614	1	Out-of-grid - current L2	AuÃŸerhalb des Netzes â€“ aktuelles L2	A	int16be	1	0,01	0		level		true	false	false	false
615	1	Out-of-grid - current L3	AuÃŸerhalb des Netzes â€“ aktuelles L3	A	int16be	1	0,01	0		level		true	false	false	false
616	1	A Out-of-grid -power L1	A AuÃŸerhalb des Netzes - Strom L1	W	int16be	1	1	0		level		true	false	false	false
617	1	A Out-of-grid -power L2	A AuÃŸerhalb des Netzes - Strom L2	W	int16be	1	1	0		level		true	false	false	false
618	1	A Out-of-grid -power L3	A AuÃŸerhalb des Netzes - Strom L3	W	int16be	1	1	0		level		true	false	false	false
619	1	Out-of-grid-total-power	AuÃŸerhalb des Netzes - Gesamtleistung	W	int16be	1	1	0		level		true	false	false	false
620	1	Out-of-grid-total-apparent-power	AuÃŸerhalb des Netzes - Gesamtscheinleistung	VA	uint16le	1	1	0		level		true	false	false	false
621	1	Grid-connected power factor PF	Netzgekoppelter Leistungsfaktor PF		int16be	1	1	0		level		true	false	false	false
622	1	Grid side A-phase power	Netzseitiger L1-Phasen-Strom	W	int16be	1	1	0		level		true	false	false	false
623	1	Grid side B-phase power	Netzseitiger L2-Phasen-Strom	W	int16be	1	1	0		level		true	false	false	false
624	1	Grid side C-phase power	Netzseitiger L3-Phasen-Strom	W	int16be	1	1	0		level		true	false	false	false
625	1	Grid side total power	Netzseitige Gesamtleistung	W	int16be	1	1	0		level		true	false	false	false
627	1	Inverter output phase voltage A	Wechselrichter-Ausgangsphasenspannung L1	V	int16be	1	0,1	0		level		true	false	false	false
628	1	Inverter output phase voltage B	Wechselrichter-Ausgangsphasenspannung L2	V	int16be	1	0,1	0		level		true	false	false	false
629	1	Inverter output phase voltage C	Wechselrichter-Ausgangsphasenspannung L3	V	int16be	1	0,1	0		level		true	false	false	false
630	1	Inverter output phase current A	Ausgangsphasenstrom des Wechselrichters L1	A	int16be	1	0,01	0		level		true	false	false	false
631	1	Inverter output phase current B	Ausgangsphasenstrom des Wechselrichters L2	A	int16be	1	0,01	0		level		true	false	false	false
632	1	Inverter output phase current C	Ausgangsphasenstrom des Wechselrichters L3	A	int16be	1	0,01	0		level		true	false	false	false
633	1	Inverter output phase power A	Ausgangsphase des Wechselrichters Macht L1	W	int16be	1	1	0		level		true	false	false	false
634	1	Inverter output phase power B	Ausgangsphase des Wechselrichters Macht L2	W	int16be	1	1	0		level		true	false	false	false
635	1	Inverter output phase power C	Ausgangsphase des Wechselrichters Leistung L3	W	int16be	1	1	0		level		true	false	false	false
636	1	Inverter output total power	Gesamtleistung des Wechselrichters Leistung	W	int16be	1	1	0		level		true	false	false	false
637	1	Inverter output total apparent power	Gesamtleistung des Wechselrichters Scheinleistung	W	int16be	1	1	0		level		true	false	false	false
638	1	Inverter frequency	Wechselrichter frequenz	Hz	int16be	1	0,01	0		level		true	false	false	false
640	1	UPS load-side phase power A	USV-lastseitige Phasenleistung L1	W	int16be	1	1	0		level		true	false	false	false
641	1	UPS load-side phase power B	USV-lastseitige Phasenleistung L2	W	int16be	1	1	0		level		true	false	false	false
642	1	UPS load-side phase power C	USV-lastseitige Phasenleistung L3	W	int16be	1	1	0		level		true	false	false	false
643	1	UPS load-sidetotal power	Lastseitige Gesamtleistung der USV	W	int16be	1	1	0		level		true	false	false	false
644	1	Load phase voltage A	Load phasenspannung L1	V	int16be	1	0,1	0		level		true	false	false	false
645	1	Load phase voltage B	Load phasenspannung L2	V	int16be	1	0,1	0		level		true	false	false	false
646	1	Load phase voltage C	Load phasenspannung L3	V	int16be	1	0,1	0		level		true	false	false	false
647	1	Load phase current A	Load phasenstrom L1	A	int16be	1	0,01	0		level		true	false	false	false
648	1	Load phase current B	Load phasenstrom L2	A	int16be	1	0,01	0		level		true	false	false	false
649	1	Load phase current C	Load phasenstrom L3	A	int16be	1	0,01	0		level		true	false	false	false
650	1	Load phase power A	Load phase Leistung L1	W	int16be	1	1	0		level		true	false	false	false
651	1	Load phase power B	Load phase Leistung L2	W	int16be	1	1	0		level		true	false	false	false
652	1	Load phase power C	Load phase Leistung L3	W	int16be	1	1	0		level		true	false	false	false
653	1	Load totalpower	Load Gesamtleistung	W	int16be	1	1	0		level		true	false	false	false
654	1	Load phase apparent power	Scheinleistung der Lastphase	VA	int16be	1	1	0		level		true	false	false	false
655	1	Load frequency	Load Frequenz	Hz	int16be	1	0,01	0		level		true	false	false	false
661	1	Phase voltage of Gen port A	Phasenspannung von Gen-Port L1	V	int16be	1	0,1	0		level		true	false	false	false
662	1	Phase voltage of Gen port B	Phasenspannung von Gen-Port L2	V	int16be	1	0,1	0		level		true	false	false	false
663	1	Phase voltage of Gen port C	Phasenspannung von Gen-Port L3	V	int16be	1	0,1	0		level		true	false	false	false
664	1	Phase power of Gen port A	Phasenleistung von Gen-Port L1	W	int16be	1	1	0		level		true	false	false	false
665	1	Phase power of Gen port B	Phasenleistung von Gen-Port L2	W	int16be	1	1	0		level		true	false	false	false
666	1	Phase power of Gen port C	Phasenleistung von Gen-Port L3	W	int16be	1	1	0		level		true	false	false	false
667	1	total power of Gen port	Gesamtleistung des Gen-Ports	W	int16be	1	1	0		level		true	false	false	false
672	1	PV1 input power	PV1 Eingangsleistung	W	int16be	1	1	0		level		true	false	false	false
673	1	PV2 input power	PV2 Eingangsleistung	W	int16be	1	1	0		level		true	false	false	false
674	1	PV3 input power	PV3 Eingangsleistung	W	int16be	1	1	0		level		true	false	false	false
675	1	PV4 input power	PV4 Eingangsleistung	W	int16be	1	1	0		level		true	false	false	false
676	1	Dc voltage 1	Gleichspannung 1	V	int16be	1	0,1	0		level		true	false	false	false
677	1	Dc current 1	Gleichstrom 1	A	int16be	1	0,1	0		level		true	false	false	false
678	1	Dc voltage 2	Gleichspannung 2	V	int16be	1	0,1	0		level		true	false	false	false
679	1	Dc current 2	Gleichstrom 2	A	int16be	1	0,1	0		level		true	false	false	false
680	1	Dc voltage 3	Gleichspannung 3	V	int16be	1	0,1	0		level		true	false	false	false
681	1	Dc current 3	Gleichstrom 3	A	int16be	1	0,1	0		level		true	false	false	false
682	1	Dc voltage 4	Gleichspannung 4	V	int16be	1	0,1	0		level		true	false	false	false
683	1	Dc current 4	Gleichstrom 4	A	int16be	1	0,1	0		level		true	false	false	false
